PKNAME,PEAKID,PKNAME2,PKNAME_COSO,LOCATION,osm.x,osm.y,osm,wiki,s,Lat,Lon
Aichyn,ACHN,"Aychin, Ashvin",Aichyn,Chandi Himal (SW of Changwathang),0,0,0,0,0,"30,1615","81,5135"
Ama Dablam,AMAD,Amai Dablang,Ama Dablam,Khumbu Himal,1,0,0,1,2,,
Amotsang,AMOT,Amatson,Amotsang,Damodar Himal (NW of Pokharhan),0,0,0,0,0,"28,50576","84,101319"
Amphu Gyabjen,AMPG,Amphu Gyabien,Amphu Gyabjen,Khumbu Himal (N of Ama Dablam),1,0,0,0,1,,
Amphu I,AMPH,NA,Amphu,"Khumbu Himal (E of Amphu Laptsa, W of Baruntse)",0,0,0,0,0,"27,5213","86,572"
Amphu Middle,AMPM,Amphu North,Amphu,Khumbu Himal (NW of Amphu Laptsa),0,0,0,0,0,"27,5213","86,572"
Anidesh Chuli,ANID,White Wave Peak,Anidesh Chuli,Kangchenjunga Himal (W of Kangbachen),0,0,0,0,0,"27,4307","88,0415"
Annapurna I,ANN1,NA,Annapurna I,Annapurna Himal,0,1,1,1,3,,
Annapurna I East,ANNE,NA,Annapurna I East,Annapurna Himal (ENE of Annapurna I),0,0,0,1,1,,
Annapurna I Middle,ANNM,NA,Annapurna I Middle,Annapurna Himal (ENE of Annapurna I),0,0,0,1,1,,
Annapurna II,ANN2,NA,Annapurna II,Annapurna Himal,0,1,1,1,3,,
Annapurna III,ANN3,NA,Annapurna III,Annapurna Himal,0,1,1,1,3,,
Annapurna IV,ANN4,NA,Annapurna IV,Annapurna Himal,0,1,1,1,3,,
Annapurna South,ANNS,"Annapurna Dakshin, Moditse",Annapurna South,Annapurna Himal (S of Annapurna I and Fang),1,0,0,1,2,,
Api Main,APIM,NA,Api,Api Himal,0,0,0,0,0,"30,0015","80,56"
Api West,APIW,NA,Api,Api Himal (W of Api),0,0,0,0,0,,
Ardang,ARDN,Chyoro Ri,Ardang,Phupharka Himal (NW of Simikot),0,0,0,0,0,,
Arniko Chuli,ARNK,Araniko Chuli,Arniko Chuli,Mukut Himal (W Mustang near Tibetan border),0,0,0,0,0,"29,1034","83,3934"
Asajya Tuppa,ASAJ,NA,Asajya Tuppa,Gorakh Himal (ENE of Simikot on Tibetan border),0,0,1,0,1,,
Bamongo,BAMO,NA,Bamongo,Rolwaling Himal (E of Chekigo on Tibetan border),0,0,0,0,0,,
Baruntse,BARU,NA,Baruntse,Khumbu Himal (W of Makalu),1,0,1,1,3,,
Baudha,BAUD,NA,Baudha,Mansiri Himal (SE of Manaslu and Himalchuli),0,0,0,1,1,,
Beding Go,BEDG,Bedding Go,Beding Go,Rolwaling Himal (N of Beding village on Tibetan border),0,0,0,0,0,,
Bhairab Takura,BTAK,Madiya,Bhairab Takura,Jugal Himal (ENE of Dorje Lhakpa on Tibetan border),0,0,0,0,0,,
Bhemdang Ri,BHEM,Morimoto,Bhemdang Ri,Jugal Himal (SE of Shalbachum),1,0,0,0,1,,
Bhrikuti,BHRI,Damodar Himal,Bhrikuti,Damodar Himal (NE of Thorong La near Tibetan border),0,0,0,0,0,,
Bhrikuti Shail,BHRS,NA,Bhrikuti Shail,Damodar Himal (NE of Thorong La on Tibetan border),1,0,0,0,1,,
Bhulu Lhasa,BHUL,NA,Bhulu Lhasa,Kanjiroba Himal (NNW of Kanjiroba North),0,0,0,0,0,,
Bijora Hiunchuli,BIJO,NA,Bijora Hiunchuli,Jagdula Lekh (S of Kande Huinchuli),0,0,0,0,0,,
Bobaye,BOBA,NA,Bobaye,Api Himal (S of Nampa),1,0,0,1,2,,
Boktoh,BOKT,Bokta,Boktoh,Kangchenjunga Himal (SE of Jannu),1,0,0,0,1,,
Burke Kang,BURK,Burke Khang,Burke Kang,Khumbu Himal (ENE of Hungchhi on Tibetan border),0,0,0,0,0,,
Chabuk,CHAB,Tsajirip,Chabuk,Ohmi Kangri Himal (E of Ohmi Kangri on Tibetan border),0,0,0,0,0,,
Chago,CHAG,NA,Chago,Makalu Himal (NW of Makalu II on Tibetan border),0,0,1,0,1,,
Chako,CHAK,NA,Chako,Damodar Himal (ESE of Bhrikuti Shail),0,0,0,0,0,,
Chamar,CHMR,Shringi Himal,Chamar,Shringi Himal (SSE of Chamar),1,0,0,1,2,,
Chamar,CHMR,Shringi Himal,Chamar,Shringi Himal (SSE of Chamar),1,0,0,1,2,,
Chamar Kang,CHKA,"Chharka, Kangtega",Chamar Kang,"Mukut Himal (NW of Tsharka village, SE of Tingkyu village)",0,0,0,0,0,,
Chamar North,CHMN,Peak 23,Chamar,Shringi Himal,0,0,0,0,0,,
Chamlang,CHAM,NA,Chamlang,"Khumbu Himal (in Hongku Valley, SW of Makalu)",1,0,0,1,2,,
Chandi Himal,CHND,NA,Chandi Himal,Chandi Himal (NE of Simikot on Tibetan border),0,0,0,0,0,,
Changdi,CHNG,NA,Changdi,Palchung Himal (SE of Kanti Himal peak on Tibetan border),0,0,1,0,1,,
Changla,CHAN,Changla Himal,Changla,Changla Himal (N of Jumla on Tibetan border),0,0,1,1,2,,
Changtse,CTSE,Everest North Peak,Changtse,North of Everest (in Tibet),0,0,0,1,1,,
Changwathang,CHWT,NA,Changwathang,Chandi Himal (S of Tibetan border),0,0,0,0,0,,
Chaw Peak,CHAW,Chaw East,Chaw Peak,Ohmi Kangri Himal (WNW of Ohmi Kangri on Tibetan border),0,0,0,0,0,,
Chekigo,CHEK,NA,Chekigo,Rolwaling Himal (ENE of Beding village on Tibetan border),1,0,0,1,2,,
Cheo Himal,CHEO,NA,Cheo Himal,Peri Himal (ESE of Himlung Himal on Tibetan border),0,0,0,0,0,,
Chhiv Himal,CHIV,Chhib Himal,Chhiv Himal,Damodar Himal (SW of Saribang and WSW of Bhrikuti),1,0,0,0,1,,
Chhochenphu Himal,CPHU,NA,Chhochenphu Himal,Ohmi Kangri Himal (SW of Pabuk Kang near Tibetan border),0,0,0,0,0,,
Chhopa Bamare,CBAM,Chomo Pamari,Chhopa Bamare,Rolwaling Himal (NW of Lamabagar on Tibetan border),0,0,0,0,0,,
Chhuboche,CHUB,NA,Pisang Peak,Damodar Himal (NNE of Pisang Peak),0,0,0,0,0,,
Chhukung Chuli,CHRI,Chhukung Ri,Lhotse,Khumbu Himal (S of Lhotse),0,0,0,0,0,,
Chhukung Tse,CHUK,NA,Lhotse,Khumbu Himal (S of Lhotse),0,0,0,0,0,,
Cho Oyu,CHOY,NA,Cho Oyu,Khumbu Himal (NW of Everest on Tibetan border),0,1,1,1,3,,
Cho Polu,CHOP,NA,Cho Polu,"Khumbu Himal (S of Shartse, N of Baruntse)",1,0,0,1,2,,
Chobuje,CHOB,"Chobutse, Tsoboje",Chobuje,Rolwaling Himal (NE of Tsho Rolpa),0,0,0,0,0,,
Cholatse,CHOL,"Tsolatse, Jobo Lhaptshan",Cholatse,Khumbu Himal (N of Tawoche),1,0,0,1,2,,
Chukyima Go,CHUG,Chugimago,Chukyima Go,Rolwaling Himal (WSW of Tesi Laptsa),1,0,0,1,2,,
Chulu Central,CHUL,Chulu East,Chulu Central,Damodar Himal (E of Thorong La),0,0,0,0,0,,
Chulu West,CHUW,NA,Chulu,Damodar Himal (E of Thorong La),1,0,0,0,1,,
Chumbu,CHUM,NA,Chumbu,Khumbu Himal (WSW of Khangri Shar near Tibetan border),1,0,0,1,2,,
Churen Himal Central,CHUR,NA,Churen Himal,Dhaulagiri Himal (NW of Dhaulagiri VI),0,0,0,0,0,,
Churen Himal East,CHRE,NA,Churen Himal,Dhaulagiri Himal (NW of Dhaulagiri VI),0,0,0,0,0,,
Churen Himal West,CHRW,NA,Churen Himal,Dhaulagiri Himal (NW of Dhaulagiri VI),0,0,0,0,0,,
Danga,DANG,NA,Danga,"Ohmi Kangri Himal (WNW of Lhonak, E of Nupchu)",1,0,0,0,1,,
Danphe Shail,DANS,Danfe Shail,Kanjiroba ,Palchung Himal (N of Kanjiroba on Tibetan border),0,0,0,0,0,,
Dhampus,DHAM,"Thapa Peak, Marpha Peak",Dhaulagari,Mukut Himal (NE of Dhaulagiri I and Tukuche),0,0,0,0,0,,
Dhaulagari,DGAR,Dhaulasiri,Dhaulagari,"Raksha Urai Himal (E of Bobaye, S of Raksha Urai)",1,0,0,0,1,,
Dhaulagiri I,DHA1,NA,Dhaulagari,Dhaulagiri Himal,0,0,0,0,0,,
Dhaulagiri II,DHA2,NA,Dhaulagiri II,Dhaulagiri Himal (NW of Dhaulagiri I),1,0,0,1,2,,
Dhaulagiri III,DHA3,"Nalu, Naula",Dhaulagiri III,Dhaulagiri Himal (SW of Dhaulagiri II),1,0,0,0,1,,
Dhaulagiri IV,DHA4,NA,Dhaulagiri IV,Dhaulagiri Himal (W of Dhaulagiri V),1,0,0,1,2,,
Dhaulagiri V,DHA5,NA,Dhaulagiri V,Dhaulagiri Himal (SW of Dhaulagiri III),1,0,0,1,2,,
Dhaulagiri VI,DHA6,NA,Dhaulagiri VI,Dhaulagiri Himal (WSW of Dhaulagiri IV),1,0,0,0,1,,
Dhechyan Khang,DHEC,NA,Gaugiri,Damodar Himal (ESE of Gaugiri on Tibetan border),0,0,0,0,0,,
Dingjung North,DING,"Kangkuru, Rima Mancho",Dingjung Ri,Rolwaling Himal (S of Pangbuk Ri on Tibetan border),0,0,0,0,0,,
Dingjung Ri,DINS,Dingjung Ri South,Dingjung Ri,Rolwaling Himal (S of Pangbuk Ri on Tibetan border),1,0,0,0,1,,
Dogari,DOGA,NA,Putha Hiunchuli,Dhaulagiri Himal (WNW of Putha Hiunchuli),0,0,0,0,0,,
Dolma Khang,DOLM,Tseringma,Gaurishankar,Rolwaling Himal (SE of Gaurishankar on Tibetan border),0,0,0,0,0,,
Dome Kang,DOMK,NA,Domo,Jongsang Himal (ESE of Jongsong on Indian border),0,0,0,0,0,,
Domo,DOMO,Jongsang SE Peak,Domo,Jongsang Himal (SE of Jongsong on Indian border),0,0,0,1,1,,
Dorje Lakpa II,DOR2,Jugal Himal,Dorje Lhakpa,Jugal Himal (S of Dorje Lhakpa),0,0,0,0,0,,
Dorje Lhakpa,DORJ,NA,Dorje Lhakpa,Jugal Himal (near Tibetan border),1,0,0,1,2,,
Dragmorpa Ri,DRAG,Thakmarpo Ri,Dragmorpa Ri,Langtang Himal (SW of Tilman's Col on Tibetan border),0,0,0,0,0,,
Drangnag Ri,DRAN,Thaknak Ri,Drangnag Ri,Rolwaling Himal (N of Tesi Laptsa near Tibetan border),1,0,0,1,2,,
Drohmo,DROM,"Domo, Longridge Peak",Drohmo,Jongsang Himal (NNW of Kangchenjunga),1,0,0,1,2,,
Dudh Kundali,DUDH,"Dui Tal Chuli, Two Lakes Peak",Kanjiroba ,Jagdula Lekh (S of Kanjiroba Himal),0,0,0,0,0,,
Dwijen Himal,DWIJ,NA,Dwijen Himal,Shringi Himal (NE of Ghap village on Tibetan border),0,0,0,0,0,,
Dzanye,DZAN,Dzanaye,Lashar I,Janak Himal (WNW of Lashar I on Tibetan border),0,0,0,0,0,,
Dzanye II,DZA2,NA,Lashar I,Janak Himal (S of Danzye Peak),0,0,0,0,0,,
Dzasampatse,DZAS,NA,,Khumbu Himal (S of Pasang Lhamu Chuli),0,0,0,0,0,,
Ek Rate Danda,EKRA,NA,,"Khumbu Himal (in Hongku Valley, S of Chamlang)",0,0,0,0,0,,
Everest,EVER,"Sagarmatha, Chomolungma, Qomolungma",,Khumbu Himal,0,1,0,0,1,,
Fang,FANG,"Varaha Shikhar, Varaha Chuli, Finger",,Annapurna Himal (SW of Annapurna I),0,0,0,0,0,,
Firnkopf,FIRN,"Phirankoph, Firnkopf East",,hSaipal Himal (W of Saipal),0,0,0,0,0,,
Firnkopf West,FIRW,Phirankoph West,,Saipal Himal (WSW of Firnkopf),0,0,0,0,0,,
Futi Himal,FUTI,NA,,Damodar Himal (W of Bhrikuti),0,0,0,0,0,,
Gama Peak,GAMA,NA,,"Dhaulagiri Himal (N of Dhaulagiri VI, S of Junction Peak)",1,0,0,0,1,,
Ganchenpo,GANC,"Fluted Peak, Ganchempo",,Jugal Himal (W of Dorje Lhakpa and Urkinmang),1,0,0,0,1,,
Gandharva Chuli,GAND,"Gandharbha, Gabelhorn Peak",,Annapurna Himal (SSW of Annapurna III near Machhapuchhare),0,0,0,0,0,,
Ganesh I,GAN1,Yangra Kangri,,Ganesh Himal (on Tibetan border),0,0,0,0,0,,
Ganesh II,GAN2,NA,,Ganesh Himal (WSW of Ganesh I),0,0,0,0,0,,
Ganesh III,GAN3,"Salasungo, Kang Lombo, Lopsang Karbo",,Ganesh Himal (S of Ganesh I on Tibetan border),0,0,0,0,0,,
Ganesh IV,GAN4,Pabil,,Ganesh Himal (SW of Ganesh I),0,0,0,0,0,,
Ganesh V,GAN5,NA,,Ganesh Himal (SE of Ganesh I on Tibetan border),1,0,0,0,1,,
Ganesh VI,GAN6,NA,,Ganesh Himal (subpeak SE of Ganesh II),1,0,0,0,1,,
Ganesh VII,GAN7,NA,,Ganesh Himal (E of Ganesh I in Tibet),0,0,0,0,0,,
Gangapurna,GANG,NA,,Annapurna Himal (NW of Annapurna III),1,1,1,1,4,,
Gangapurna West,GANW,"Lachenal Peak, Asapurna",,Annapurna Himal (W of Gangapurna),0,0,0,0,0,,
Gaugiri,GAUG,NA,,Damodar Himal (N of Bhrikuti on Tibetan border),1,0,0,0,1,,
Gaurishankar,GAUR,Jomo Tseringma,Gaurishankar,Rolwaling Himal (on Tibetan border),0,0,0,0,0,,
Gaurishankar South,GAUS,Gauri,Gaurishankar,Rolwaling Himal (S of Gaurishankar),0,0,0,0,0,,
Gave Ding,GDNG,NA,,Changla Himal (N of Lachama Chuli on Tibetan border),0,0,0,0,0,,
Ghenge Liru,GHEN,"Ghenye Lirung, Langtang II",,Langtang Himal (WSW of Langtang Lirung),0,0,0,0,0,,
Ghhanyala Hies,GHAN,NA,,Janak Himal (NW of Janak Chuli on Tibetan border),0,0,0,0,0,,
Ghustang North,GHUN,NA,,Dhaulagiri Himal (WNW of Gurja Himal),0,0,0,0,0,,
Ghustang South,GHUS,"Gurja West, Paschim Himal",,Dhaulagiri Himal (WSW of Gurja Himal),0,0,0,0,0,,
Ghyun Himal I,GHYN,NA,,Mustang Himal (N of Ghyun Khola on Tibetan border),0,0,0,0,0,,
Ghyuthumba Main,GHYM,"Gutumpa, Pasang Peak",,Jagdula Lekh (S of Kanjiroba Himal),0,0,0,0,0,,
Gimmigela Chuli,GIMM,Twins,,Kangchenjunga Himal (N of Kangchenjunga on Indian border),0,0,0,1,1,,
Gimmigela Chuli East,GIME,Twins,,Kangchenjunga Himal (N of Kangchenjunga on Indian border),0,0,0,0,0,,
Glacier Dome,GLAC,"Tarke Kang, Tarke Khang",,Annapurna Himal (E of Annapurna I),0,0,0,0,0,,
Gojung,GOJN,Mugu Chuli,,Kanti Himal (WNW of Kanti Himal peak on Tibetan border),0,0,0,0,0,,
Goldum Peak,GOLD,Pangri Goldumba,,Jugal Himal (on Tibetan border),0,0,0,0,0,,
Gorakh Himal,GORH,NA,,Gorakh Himal (NE of Simikot on Tibetan border),1,0,0,0,1,,
Gorakh Khang,GORK,NA,,Gorakh Khang (ENE of Simikot on Tibetan border),0,0,0,0,0,,
Guras,GURA,Gurans,,Guras Himal (NE of Nampa on Tibetan border),0,0,0,0,0,,
Gurja Himal,GURJ,NA,,Dhaulagiri Himal (S of Dhaulagiri VI),1,0,0,1,2,,
Gurkarpo Ri,GURK,NA,,Jugal Himal (N of Dorje Lhakpa on Tibetan border),1,0,0,1,2,,
Gyachung Kang,GYAC,NA,,Khumbu Himal (E of Cho Oyu on Tibetan border),0,1,1,1,3,,
Gyajikang,GYAJ,Gyaji Khang,,Peri Himal (SW of Himlung Himal),0,0,0,0,0,,
Gyala,GYLA,NA,,Manaslu Himal (NNE of Larkya La on Tibetan border),0,0,0,0,0,,
Gyalzen Peak,GYLZ,Gyaltsen Peak,,Jugal Himal (SE of Leonpo Gang on Tibetan border),0,0,0,0,0,,
Herzog Peak,HERZ,Khangsar Khang West,,Annapurna Himal (WSW of Roc Noir),0,0,0,0,0,,
Himalchuli East,HIME,Himalchuli Main,,Mansiri Himal (SE of Manaslu),0,0,0,0,0,,
Himalchuli North,HIMN,NA,,"Mansiri Himal (SE of Manaslu, WNW of Himalchuli Main)",0,0,0,0,0,,
Himalchuli West,HIMW,NA,,"Mansiri Himal (SE of Manaslu, W of Himalchuli Main)",0,0,0,0,0,,
Himjung,HIMJ,Nemjung Goth,,Peri Himal (S of Himlung Himal),0,0,0,0,0,,
Himlung East,HMLE,NA,,Peri Himal (E of Himlung Himal on Tibetan border),0,0,0,0,0,,
Himlung Himal,HIML,NA,,Peri Himal (NW of Manaslu near Tibetan border),0,0,0,1,1,,
Hiunchuli,HIUP,Patal Hiunchuli,,Annapurna Himal (E of Annapurna South),1,0,0,1,2,,
Hiunchuli,HIUP,Patal Hiunchuli,,Annapurna Himal (E of Annapurna South),1,0,0,1,2,,
Hongde,HONG,"Hangde, Hongde Himal",,Mukut Himal (N of Sita Chuchura in Hidden Valley),1,0,0,0,1,,
Hongku,HONK,"Hongku Chuli Nup, Honku, Sura Peak",,"Khumbu Himal (in Hongku Valley, W of Hongku Chuli)",0,0,0,0,0,,
Hongku Chuli,HNKU,"Hunku Chuli, Pyramid Peak",,"Khumbu Himal (in Hongku Valley, NE of Chamlang)",0,0,0,0,0,,
Hulang Go,HUGO,NA,,Peri Himal (WNW of Ratna Chuli on Tibetan border),0,0,0,0,0,,
Hungchhi,HCHI,"Hunchhi, Chakung, Gyubanare Kang, Gyuba Tshomotse",,Khumbu Himal (S of Gyachung Kang on Tibetan border),0,0,0,0,0,,
Hunku,HUNK,NA,,Khumbu Himal (NNE of Peak 41),0,0,0,0,0,,
Imjatse,IMJA,Island Peak,,Khumbu Himal (S of Lhotse),0,0,0,0,0,,
Jabou Ri,JABR,NA,,Rolwaling Himal (S of Tarkago),0,0,0,0,0,,
Jagdula,JAGD,NA,,Jagdula Lekh (S of Kande Hiunchuli),0,0,0,0,0,,
Janak Chuli,JANK,"Janak, Outlier",,Janak Himal (WNW of Jongsang on Tibetan border),1,0,0,0,1,,
Jannu,JANU,Khumbhakarna,,Kangchenjunga Himal (W of Kangchenjunga),0,0,0,1,1,,
Jannu East,JANE,Khumbhakarna East,,Kangchenjunga Himal (W of Kangchenjunga),0,0,0,0,0,,
